customer_id,recency,frequency,monetary,average_order_value,first_purchase_date,customer_tenure_days,purchase_frequency_per_day,recency_log,frequency_log,monetary_log,average_order_value_log,cluster,segment_name
12346,326,12,77556.46,6463.038333333334,2009-12-14 08:34:00,726,0.0165289256198347,5.7899601708972535,2.5649493574615367,11.258774359980725,8.774009530463875,2,Loyal Customers
12347,2,8,4921.53,615.19125,2010-10-31 14:20:00,404,0.0198019801980198,1.0986122886681098,2.1972245773362196,8.501577904958904,6.423557386126661,4,VIP Customers
12348,75,5,2019.4,403.88,2010-09-27 14:59:00,438,0.0114155251141552,4.330733340286331,1.791759469228055,7.6110507905938976,6.003590726905823,2,Loyal Customers
12349,19,4,4428.6900000000005,1107.1725,2010-04-29 13:20:00,589,0.0067911714770797,2.995732273553991,1.6094379124341003,8.396084883164011,7.010467541110011,2,Loyal Customers
12350,310,1,334.40000000000003,334.40000000000003,2011-02-02 16:01:00,310,0.0032258064516129,5.739792912179234,0.6931471805599453,5.815323849389109,5.815323849389109,3,New Customers
12351,375,1,300.93,300.93,2010-11-29 15:23:00,375,0.0026666666666666,5.929589143389895,0.6931471805599453,5.710195202428391,5.710195202428391,3,New Customers
12352,36,10,2849.84,284.98400000000004,2010-11-12 10:20:00,393,0.0254452926208651,3.6109179126442243,2.3978952727983707,7.9553689666784315,5.655935865198981,4,VIP Customers
12353,204,2,406.76,203.38,2010-10-27 12:44:00,409,0.0048899755501222,5.3230099791384085,1.0986122886681098,6.010678766031786,5.319981006184063,3,New Customers
12354,232,1,1079.4,1079.4,2011-04-21 13:11:00,232,0.0043103448275862,5.4510384535657,0.6931471805599453,6.985086621918461,6.985086621918461,2,Loyal Customers
12355,214,2,947.61,473.805,2010-05-21 11:59:00,568,0.0035211267605633,5.3706380281276624,1.0986122886681098,6.854997755239065,6.1629041934298545,3,New Customers
12356,23,6,6371.7300000000005,1061.9550000000002,2010-10-11 09:42:00,425,0.0141176470588235,3.1780538303479458,1.9459101490553132,8.759783228184277,6.968808044426125,2,Loyal Customers
12357,33,3,18287.66,6095.886666666666,2010-11-16 10:05:00,389,0.0077120822622107,3.5263605246161616,1.3862943611198906,9.814036474622236,8.715533537358253,2,Loyal Customers
12358,2,5,3887.07,777.414,2009-12-08 07:59:00,732,0.0068306010928961,1.0986122886681098,1.791759469228055,8.265668169533484,6.6572585163215665,4,VIP Customers
12359,58,10,8873.39,887.3389999999999,2009-12-05 13:32:00,734,0.0136239782016348,4.07753744390572,2.3978952727983707,9.090924879587071,6.789353426898356,4,VIP Customers
12360,52,8,4252.89,531.61125,2010-02-22 09:32:00,656,0.0121951219512195,3.970291913552122,2.1972245773362196,8.355589137409874,6.2777917959505904,2,Loyal Customers
12361,287,4,511.25,127.8125,2010-01-26 14:37:00,682,0.0058651026392961,5.662960480135946,1.6094379124341003,6.238812787119009,4.8583578586506775,3,New Customers
12362,3,11,5356.2300000000005,486.93000000000006,2009-12-01 10:10:00,739,0.0148849797023004,1.3862943611198906,2.4849066497880004,8.586202329437555,6.19017195294132,4,VIP Customers
12363,110,2,552.0,276.0,2011-04-11 13:29:00,242,0.0082644628099173,4.709530201312334,1.0986122886681098,6.315358001522335,5.6240175061873385,3,New Customers
12364,8,4,1313.1,328.275,2011-08-19 15:24:00,112,0.0357142857142857,2.1972245773362196,1.6094379124341003,7.180907299649593,5.79689326788511,1,Regular Customers
12365,291,2,641.38,320.69,2011-02-21 13:51:00,291,0.0068728522336769,5.676753802268282,1.0986122886681098,6.465180028897591,5.773588348900164,3,New Customers
12366,634,1,500.24,500.24,2010-03-16 10:28:00,634,0.001577287066246,6.453624998892692,0.6931471805599453,6.217085028297085,6.217085028297085,3,New Customers
12367,4,1,168.9,168.9,2011-12-05 16:48:00,4,0.25,1.6094379124341003,0.6931471805599453,5.135210028677887,5.135210028677887,1,Regular Customers
12368,628,1,917.7,917.7,2010-03-21 15:56:00,628,0.001592356687898,6.444131256700441,0.6931471805599453,6.822959627277421,6.822959627277421,2,Loyal Customers
12369,413,3,1791.15,597.0500000000001,2010-03-08 08:09:00,642,0.0046728971962616,6.025865973825314,1.3862943611198906,7.491171295388921,6.3936743624954735,2,Loyal Customers
12370,51,7,4316.56,616.6514285714286,2010-02-09 09:41:00,669,0.0104633781763826,3.9512437185814275,2.0794415416798357,8.370445706855367,6.425924266894304,2,Loyal Customers
12371,45,5,4067.38,813.476,2010-03-04 18:23:00,645,0.0077519379844961,3.828641396489095,1.791759469228055,8.31100016480189,6.702544961677952,2,Loyal Customers
12372,72,3,1298.04,432.68,2011-02-16 12:46:00,297,0.0101010101010101,4.290459441148391,1.3862943611198906,7.169380809114136,6.072306934952083,2,Loyal Customers
12373,311,3,1127.65,375.8833333333334,2010-02-04 12:08:00,674,0.0044510385756676,5.7430031878094825,1.3862943611198906,7.028777507229587,5.931935678900894,3,New Customers
12374,25,4,2989.2200000000003,747.3050000000001,2010-04-30 14:01:00,588,0.0068027210884353,3.258096538021482,1.6094379124341003,8.003102242273277,6.617810648876097,2,Loyal Customers
12375,11,2,457.5,228.75,2011-09-02 14:23:00,98,0.0204081632653061,2.4849066497880004,1.0986122886681098,6.127960291696519,5.436991761235796,1,Regular Customers
12376,390,2,503.15,251.575,2010-10-18 08:42:00,418,0.0047846889952153,5.968707559985366,1.0986122886681098,6.222873842839224,5.531708234313796,3,New Customers
12377,315,4,3426.32,856.58,2010-04-29 15:34:00,589,0.0067911714770797,5.755742213586912,1.6094379124341003,8.139533893646055,6.754114469149079,2,Loyal Customers
12378,130,2,5416.32,2708.16,2010-05-26 14:07:00,562,0.0035587188612099,4.875197323201151,1.0986122886681098,8.597356507200939,7.904393902725625,2,Loyal Customers
12379,82,4,1620.22,405.055,2010-06-23 12:49:00,535,0.0074766355140186,4.418840607796598,1.6094379124341003,7.390934231218893,6.00648861840707,2,Loyal Customers
12380,22,11,9676.3,879.6636363636364,2010-02-15 12:05:00,663,0.0165912518853695,3.1354942159291497,2.4849066497880004,9.177538215743802,6.7806757554888275,4,VIP Customers
12381,5,5,1845.31,369.062,2011-08-12 09:57:00,120,0.0416666666666666,1.791759469228055,1.791759469228055,7.520944331624911,5.9136705591679615,1,Regular Customers
12383,185,5,1850.56,370.112,2010-12-22 14:28:00,352,0.0142045454545454,5.225746673713202,1.791759469228055,7.523783805985769,5.916503903841239,2,Loyal Customers
12384,29,2,585.27,292.635,2011-08-10 11:23:00,122,0.0163934426229508,3.4011973816621555,1.0986122886681098,6.373780434317173,5.6823374994447,1,Regular Customers
12385,379,1,1938.4,1938.4,2010-11-25 15:14:00,379,0.0026385224274406,5.940171252720432,0.6931471805599453,7.570133925870446,7.570133925870446,2,Loyal Customers
12386,338,2,401.9,200.95,2010-12-08 09:53:00,367,0.0054495912806539,5.82600010738045,1.0986122886681098,5.998688392197302,5.308020142009422,3,New Customers
